user_id,signup_date,plan_type,portfolio_size,annual_revenue,is_active,nps_score,support_tickets_last_90d,success_manager_assigned,csm_id,renewal_due_date
164,2023-10-15,premium,10,8628.66,True,44.0,0,1,CSM014,2025-10-15
165,2023-11-09,starter,40,703.81,True,54.0,1,0,,2025-11-09
166,2023-11-09,starter,50,616.12,True,19.0,0,0,,2025-11-09
167,2023-08-26,starter,20,617.72,True,33.0,0,1,CSM005,2026-08-26
168,2024-11-19,premium,50,20194.91,False,19.0,1,1,CSM013,2025-08-06
169,2024-08-29,pro,1,873.46,True,62.0,0,0,,2026-08-29
170,2023-10-13,starter,4,231.87,True,,0,1,CSM011,2025-10-13
171,2024-10-19,pro,4,3051.12,True,65.0,1,1,CSM008,2025-10-19
172,2024-03-07,pro,2,2748.27,False,-4.0,1,1,CSM006,2025-09-27
173,2024-07-23,pro,60,871.36,True,6.0,0,0,,2026-07-23
174,2024-06-08,starter,1,214.24,True,7.0,0,0,,2026-06-08
175,2025-05-05,starter,25,258.03,False,-59.0,3,0,,2025-08-22
176,2024-06-17,starter,1,137.05,True,-14.0,2,0,,2026-06-17
177,2024-04-18,starter,5,318.01,True,58.0,0,1,CSM007,2026-04-18
178,2023-08-30,pro,5,1857.0,True,-9.0,0,1,CSM015,2026-08-30
179,2024-01-16,starter,3,521.31,True,,2,0,,2026-01-16
180,2024-02-03,starter,15,587.9,False,-28.0,0,0,,2025-09-22
181,2023-11-09,pro,15,2957.91,True,63.0,0,1,CSM008,2025-11-09
182,2024-07-30,premium,4,6195.53,False,-2.0,0,1,CSM011,2025-08-17
183,2024-05-26,starter,30,467.06,False,-15.0,1,0,,2025-09-11
184,2024-06-11,starter,2,339.19,False,-10.0,1,0,,2025-08-24
185,2025-01-04,pro,3,3038.98,True,72.0,1,1,CSM002,2026-01-04
186,2025-06-07,starter,5,444.01,False,-35.0,2,0,,2025-08-29
187,2024-08-26,starter,5,449.9,True,10.0,0,0,,2026-08-26
188,2024-05-16,premium,3,12475.51,True,3.0,0,1,CSM006,2026-05-16
189,2023-11-09,starter,60,375.32,True,-47.0,1,1,CSM004,2025-11-09
190,2025-06-24,pro,40,2905.36,False,-34.0,9,1,CSM003,2025-09-12
191,2024-05-17,pro,2,1654.26,True,10.0,1,1,CSM009,2026-05-17
192,2023-09-29,starter,5,389.43,True,49.0,0,0,,2026-09-29
193,2024-07-02,starter,3,558.82,False,-24.0,1,0,,2025-09-05
194,2023-09-15,starter,10,441.21,False,-1.0,0,0,,2025-09-24
195,2024-06-03,starter,4,153.04,True,-43.0,0,0,,2026-06-03
196,2025-05-30,starter,10,157.68,True,37.0,2,1,CSM004,2026-05-30
197,2024-10-22,starter,60,753.6,True,21.0,0,1,CSM004,2025-10-22
198,2024-10-30,pro,5,2311.36,False,-41.0,1,1,CSM015,2025-08-21
199,2025-06-02,starter,25,543.05,False,-33.0,2,0,,2025-09-03
200,2025-05-28,starter,20,255.48,False,-12.0,2,1,CSM007,2025-09-02
201,2024-07-23,premium,30,12784.33,True,32.0,0,1,CSM002,2026-07-23
202,2024-02-17,pro,1,923.09,True,,0,1,CSM012,2026-02-17
203,2024-08-07,pro,30,2728.23,True,-5.0,1,1,CSM015,2026-08-07
204,2025-03-23,pro,80,1941.41,True,34.0,1,1,CSM003,2026-03-23
205,2024-04-05,pro,20,2232.69,True,,0,1,CSM006,2026-04-05
206,2024-08-17,pro,4,1217.41,True,-8.0,0,0,,2026-08-17
207,2023-10-09,starter,25,429.09,False,-7.0,1,1,CSM011,2025-09-13
208,2023-12-16,premium,30,27305.95,True,,0,1,CSM008,2025-12-16
209,2024-02-26,starter,25,362.37,True,49.0,0,1,CSM010,2026-02-26
210,2025-07-17,starter,2,185.65,True,52.0,3,1,CSM015,2026-07-17
211,2024-07-13,pro,80,3685.88,False,-23.0,1,1,CSM015,2025-08-30
212,2024-12-02,pro,80,1827.58,True,29.0,0,1,CSM003,2025-12-02
213,2024-03-08,starter,10,497.99,True,9.0,1,0,,2026-03-08
214,2024-01-11,starter,20,256.35,True,5.0,0,0,,2026-01-11
215,2024-03-09,starter,1,311.66,True,-4.0,1,0,,2026-03-09
216,2025-07-20,pro,100,1261.95,False,0.0,6,1,CSM014,2025-08-05
217,2024-07-15,starter,40,417.46,True,30.0,0,0,,2026-07-15
218,2025-03-20,premium,20,4232.36,False,,0,1,CSM011,2025-09-29
219,2024-03-18,starter,30,469.47,True,,0,0,,2026-03-18
220,2025-03-27,premium,3,10979.23,True,-2.0,2,1,CSM013,2026-03-27
221,2025-04-22,pro,4,2509.2,False,-32.0,0,0,,2025-09-06
222,2024-12-02,starter,3,412.24,True,-15.0,1,1,CSM009,2025-12-02
223,2024-11-01,starter,20,311.53,False,24.0,1,0,,2025-09-01
224,2023-09-25,starter,2,476.18,False,-25.0,0,1,CSM003,2025-09-03
225,2025-05-26,pro,60,2056.06,True,36.0,1,0,,2026-05-26
226,2024-05-11,starter,10,141.86,False,-27.0,0,0,,2025-08-31
227,2024-08-06,starter,10,177.1,False,-49.0,0,0,,2025-08-20
228,2024-05-28,pro,2,826.95,False,-48.0,0,1,CSM003,2025-08-08
229,2023-12-18,starter,25,287.98,True,51.0,0,0,,2025-12-18
230,2024-03-27,starter,40,470.32,True,30.0,1,1,CSM008,2026-03-27
231,2024-05-01,starter,20,536.8,True,42.0,0,0,,2026-05-01
232,2025-03-09,starter,3,319.1,False,25.0,3,1,CSM012,2025-09-03
233,2025-06-14,premium,40,14278.62,True,4.0,4,1,CSM012,2026-06-14
234,2025-03-21,pro,2,1490.1,True,27.0,2,1,CSM013,2026-03-21
235,2025-02-16,starter,40,461.69,False,,2,0,,2025-08-16
236,2024-11-15,starter,20,460.52,False,,2,0,,2025-09-03
237,2024-05-11,starter,4,261.1,True,,0,0,,2026-05-11
238,2024-08-24,starter,15,382.1,False,,1,0,,2025-09-24
239,2025-03-10,starter,20,574.09,False,7.0,2,0,,2025-09-17
240,2023-09-24,starter,4,419.9,False,-1.0,0,0,,2025-09-28
241,2024-11-12,premium,50,20034.0,True,-9.0,0,1,CSM011,2025-11-12
242,2025-03-24,pro,10,2788.6,True,22.0,2,1,CSM005,2026-03-24
243,2024-11-02,pro,60,1350.85,False,-32.0,0,1,CSM011,2025-09-02
244,2024-01-25,premium,50,7857.57,True,4.0,0,1,CSM002,2026-01-25
245,2024-05-02,starter,2,472.62,False,2.0,2,0,,2025-08-27
246,2025-05-14,premium,20,22761.4,True,50.0,5,1,CSM013,2026-05-14
247,2024-12-08,starter,4,415.92,False,41.0,0,1,CSM015,2025-09-28
248,2024-09-13,pro,30,1540.66,True,46.0,4,1,CSM015,2026-09-13
249,2024-02-16,pro,15,1797.72,True,14.0,1,0,,2026-02-16
250,2024-06-27,starter,10,623.01,True,-33.0,1,0,,2026-06-27
251,2024-07-16,pro,60,3213.52,True,,0,1,CSM015,2026-07-16
252,2024-07-11,pro,1,1568.63,True,39.0,1,0,,2026-07-11
253,2023-10-11,starter,15,176.32,True,59.0,0,0,,2025-10-11
254,2024-06-29,starter,4,186.18,False,,0,0,,2025-09-12
255,2025-06-01,pro,1,1836.69,False,-21.0,3,1,CSM015,2025-08-15
256,2023-10-02,pro,30,2854.51,True,-3.0,0,1,CSM007,2025-10-02
257,2023-09-12,premium,15,19751.81,True,,0,1,CSM013,2026-09-12
258,2025-03-18,starter,60,708.67,False,-12.0,3,1,CSM008,2025-09-12
259,2024-03-14,pro,20,2563.65,True,-11.0,1,1,CSM008,2026-03-14
260,2024-01-27,pro,5,1235.46,True,-5.0,2,1,CSM015,2026-01-27
261,2024-04-08,premium,100,18876.69,False,-40.0,4,1,CSM011,2025-09-03
262,2024-02-19,starter,2,248.64,True,51.0,0,1,CSM006,2026-02-19
263,2024-08-13,starter,1,216.57,True,-25.0,1,0,,2026-08-13
264,2024-06-02,pro,30,3161.34,True,51.0,0,1,CSM010,2026-06-02
265,2023-12-21,starter,5,384.11,False,-33.0,0,0,,2025-08-25
266,2024-11-12,premium,5,12826.66,False,-6.0,1,1,CSM004,2025-09-23
267,2024-08-24,starter,50,471.42,True,76.0,2,0,,2026-08-24
268,2025-04-16,starter,4,607.35,True,,1,1,CSM008,2026-04-16
269,2024-10-02,starter,50,198.83,True,18.0,4,1,CSM014,2025-10-02
270,2024-02-02,starter,20,404.5,True,69.0,0,1,CSM006,2026-02-02
271,2024-03-29,pro,4,2440.95,True,-20.0,0,1,CSM005,2026-03-29
272,2024-01-27,pro,1,1645.55,True,45.0,0,1,CSM001,2026-01-27
273,2024-08-18,starter,3,232.52,True,15.0,0,1,CSM005,2026-08-18
274,2024-11-24,starter,80,549.11,True,39.0,2,1,CSM009,2025-11-24
275,2024-03-25,pro,5,1631.57,True,15.0,0,1,CSM011,2026-03-25
276,2024-03-23,starter,2,423.68,False,-6.0,1,0,,2025-09-15
277,2024-07-22,starter,4,514.82,False,-21.0,2,0,,2025-09-24
278,2025-01-01,starter,60,554.24,True,-20.0,1,1,CSM007,2026-01-01
279,2025-04-26,starter,2,249.3,True,7.0,3,1,CSM002,2026-04-26
280,2023-09-02,pro,40,2386.0,True,27.0,0,1,CSM014,2026-09-02
281,2024-10-19,starter,2,559.22,False,-30.0,1,0,,2025-08-23
282,2023-09-25,starter,80,327.71,False,2.0,0,0,,2025-09-01
283,2023-10-05,starter,15,413.28,True,3.0,0,0,,2025-10-05
284,2025-06-14,starter,1,370.61,True,4.0,5,0,,2026-06-14
285,2024-11-17,pro,60,1324.88,True,4.0,2,1,CSM014,2025-11-17
286,2024-03-29,pro,5,3060.39,True,64.0,0,1,CSM010,2026-03-29
287,2025-01-13,pro,30,707.52,True,37.0,1,1,CSM007,2026-01-13
288,2025-04-07,starter,15,467.25,True,53.0,4,0,,2026-04-07
289,2023-12-26,starter,2,433.42,True,21.0,0,1,CSM005,2025-12-26
290,2023-11-19,pro,2,1250.75,True,4.0,1,1,CSM002,2025-11-19
291,2024-09-16,pro,2,2829.48,True,-11.0,0,0,,2026-09-16
292,2025-07-05,pro,2,2945.5,True,54.0,2,0,,2026-07-05
293,2024-01-24,starter,1,557.03,False,-45.0,0,0,,2025-09-12
294,2025-04-05,premium,1,18762.52,True,22.0,3,1,CSM006,2026-04-05
295,2024-04-10,starter,80,328.72,False,-38.0,0,0,,2025-08-22
296,2025-05-21,starter,2,378.44,True,44.0,3,0,,2026-05-21
297,2023-08-29,starter,10,491.21,False,7.0,0,0,,2025-08-20
298,2024-09-27,pro,2,1555.15,True,37.0,0,0,,2026-09-27
299,2024-10-08,starter,3,134.91,False,,0,0,,2025-08-19
300,2023-11-08,starter,30,216.3,True,50.0,0,0,,2025-11-08
301,2023-09-14,starter,60,557.57,False,7.0,0,0,,2025-09-16
302,2023-09-24,pro,10,795.73,True,-1.0,0,0,,2026-09-24
303,2024-10-11,starter,0,578.19,True,47.0,0,0,,2025-10-11
304,2024-09-02,premium,100,28306.84,False,23.0,1,1,CSM011,2025-08-05
305,2025-01-04,starter,1,219.84,False,-11.0,0,0,,2025-08-31
306,2023-11-11,premium,5,22686.67,False,-12.0,1,1,CSM007,2025-09-24
307,2025-02-03,pro,15,2274.36,True,3.0,0,1,CSM014,2026-02-03
308,2024-03-13,starter,60,650.19,False,-46.0,0,0,,2025-08-17
309,2024-11-19,starter,40,388.09,False,-9.0,5,1,CSM008,2025-08-23
310,2023-09-09,premium,20,4418.23,True,67.0,1,1,CSM011,2026-09-09
311,2025-02-07,pro,5,2095.94,True,53.0,2,0,,2026-02-07
312,2024-07-23,pro,50,842.94,False,-50.0,0,1,CSM013,2025-08-12
313,2024-06-09,starter,50,208.98,True,43.0,0,0,,2026-06-09
314,2024-07-18,pro,50,1399.72,True,67.0,1,1,CSM014,2026-07-18
315,2025-04-20,pro,30,1482.42,True,77.0,2,1,CSM008,2026-04-20
316,2024-06-25,starter,2,485.05,False,-32.0,0,1,CSM006,2025-08-19
317,2023-10-02,starter,4,363.03,False,-24.0,1,0,,2025-08-29
318,2025-03-05,premium,10,16215.83,True,,4,1,CSM004,2026-03-05
319,2025-06-25,pro,10,1030.42,True,57.0,7,0,,2026-06-25
320,2025-03-18,starter,50,215.95,False,-36.0,4,0,,2025-08-18
321,2024-11-13,starter,3,604.67,True,40.0,1,1,CSM004,2025-11-13
322,2024-09-21,pro,25,1635.17,True,0.0,1,1,CSM013,2026-09-21
323,2024-06-01,premium,5,19115.85,False,-1.0,1,1,CSM009,2025-08-23
324,2024-06-16,starter,40,318.61,False,-6.0,0,0,,2025-08-23
325,2024-06-20,starter,3,552.47,True,40.0,0,1,CSM005,2026-06-20
326,2024-02-05,starter,10,425.42,True,46.0,0,0,,2026-02-05
327,2024-12-19,starter,2,279.56,True,52.0,2,1,CSM015,2025-12-19
328,2023-12-12,pro,3,2416.48,False,,0,1,CSM004,2025-08-23
329,2023-12-22,pro,60,1582.5,True,13.0,0,1,CSM015,2025-12-22
330,2024-02-03,starter,4,555.76,True,65.0,0,1,CSM015,2026-02-03
331,2024-02-08,starter,60,626.95,True,,0,0,,2026-02-08
332,2025-03-26,pro,15,3159.9,True,40.0,0,1,CSM005,2026-03-26
333,2025-01-12,starter,1,278.86,True,48.0,0,1,CSM002,2026-01-12
334,2024-01-05,starter,40,522.95,True,55.0,1,0,,2026-01-05
335,2024-01-09,premium,1,19791.11,True,39.0,0,1,CSM006,2026-01-09
336,2025-01-19,starter,40,206.94,True,,0,0,,2026-01-19
337,2025-05-24,starter,0,306.4,False,5.0,0,1,CSM006,2025-08-29
338,2023-09-18,premium,25,13687.98,True,,0,1,CSM002,2026-09-18
339,2024-01-28,starter,2,189.95,True,36.0,1,0,,2026-01-28
340,2024-10-21,starter,5,242.2,True,,2,0,,2025-10-21
341,2025-04-13,pro,80,3084.13,True,1.0,6,1,CSM003,2026-04-13
342,2024-11-24,pro,10,2246.68,False,-23.0,0,0,,2025-08-24
343,2024-07-08,starter,25,513.35,True,28.0,0,0,,2026-07-08
344,2025-05-12,pro,30,2658.3,False,-64.0,6,1,CSM002,2025-09-25
345,2024-11-08,pro,2,1776.17,True,36.0,1,1,CSM010,2025-11-08
346,2023-09-08,starter,50,546.66,True,42.0,2,1,CSM015,2026-09-08
347,2025-04-27,pro,60,1992.77,False,-58.0,0,0,,2025-09-26
348,2024-08-02,starter,2,384.62,True,,0,0,,2026-08-02
349,2023-12-16,starter,15,181.16,True,40.0,0,0,,2025-12-16
350,2024-09-30,pro,4,1865.84,True,-1.0,1,1,CSM012,2025-09-30
351,2024-11-15,pro,30,1822.56,True,21.0,0,1,CSM005,2025-11-15
352,2025-06-19,premium,1,6894.15,True,31.0,2,1,CSM013,2026-06-19
353,2024-08-19,pro,15,2229.13,True,4.0,0,1,CSM001,2026-08-19
354,2024-11-13,starter,40,374.22,True,79.0,1,0,,2025-11-13
355,2023-09-03,premium,30,18629.84,True,,0,1,CSM004,2026-09-03
356,2024-12-09,starter,2,268.33,False,-10.0,1,0,,2025-09-21
357,2024-05-31,premium,50,28972.35,False,-14.0,4,1,CSM001,2025-08-17
358,2024-07-14,starter,3,500.16,True,27.0,0,1,CSM004,2026-07-14
359,2025-03-14,starter,40,467.74,True,,2,0,,2026-03-14
